"Webhook","Company Name","Website","Source Url","New column","ICP & Value Prop Analysis","ICP","Personas","Industries","Value_Proposition"
,"MoEngage","moengage.com","https://yourstory.com/2025/12/weekly-funding-roundup-dec-13-19-moengage-provides-boost-vc-inflow",,"Response","ICP is mid-market to enterprise digital-first and mobile-first consumer brands (e-commerce, retail, travel, financial services/fintech, media/entertainment, telco and large consumer packaged goods) that need an insights-led, cross-channel customer engagement and automation platform to improve retention, conversion and lifetime value. These customers typically have sizable user bases, product and marketing teams investing in personalization, and engineering or analytics capacity to instrument user events.","title 1 and title 2","target 1 and target 2","MoEngage provides an insights-led, cross-channel customer engagement platform that enables marketers and product teams to orchestrate personalized journeys, automate lifecycle campaigns, and optimize retention and conversion through analytics-driven segmentation and messaging."
,"Resolve AI","resolve.ai","https://www.findarticles.com/resolve-ai-hits-1-billion-valuation-in-series-a/",,"Response","ICP is mid-to-large technology-driven companies (SaaS, marketplaces, cloud-native platforms, and digital service providers) with production engineering, SRE, and DevOps teams responsible for uptime, incident response, and cloud cost management.","title 1 and title 2","target 1 and target 2","Resolve.ai provides an agentic AI platform that automates incident detection, root-cause analysis, remediation, and cloud cost optimization—reducing MTTR, on-call load, and operational costs while giving engineers contextualized production insights."
,"Galatek","galatek.com","https://www.thesaasnews.com/news/galatek-raises-30-million-in-series-a",,"Response","ICP is medium-to-large manufacturing companies and industrial OEMs seeking custom production equipment, painting and surface treatment lines, and integrated plant solutions to improve production efficiency and asset integrity.","plant managers and production engineers and procurement managers and maintenance/operations managers","manufacturing industries and surface treatment and paint finishing and metalworking and industrial maintenance","Galatek delivers custom, European‑standard production machines and complete plant solutions (including painting and surface treatment lines) that increase production reliability, reduce maintenance burden, and meet customers' specific process requirements."
,"FINNY","finny.com","https://www.thesaasnews.com/news/finny-raises-17-million-series-a",,"Response","ICP is independent and institutional financial advisory firms (RIAs), wealth managers, and independent financial advisors at small-to-medium sized advisory firms who need predictable, scalable organic client acquisition — particularly advisors focused on AUM growth and client lifecycle/wealth event-based prospecting.","financial advisors and wealth managers; RIA founders/CEOs and growth/marketing leaders at advisory firms","financial advisory firms and wealth management firms","FINNY uses AI to surface, score (F-Score), and automate outreach to high-potential prospects (catching ""money in motion""), turning hours of manual prospecting into minutes so advisors can scale organic growth and close more clients."
,"Olea","olea.com","https://www.fintechfutures.com/venture-capital-funding/olea-secures-30m-in-series-a-funding-round-led-by-bbva",,"Response","ICP is mid-market to enterprise organizations that deploy customer-facing self-service kiosks and interactive hardware—brands and venue operators (retail chains, stadiums, casinos, healthcare systems, and hospitality/foodservice companies) seeking custom or OEM kiosk design, manufacturing, and integration to improve customer experience and operational efficiency.","operations managers and IT/technology leaders","retailers and hospitality providers","Olea designs and manufactures durable, American-made custom and standard kiosks (including OEM manufacturing) that accelerate deployments, improve customer experiences, increase revenue capture (payments, loyalty), and reduce labor/operational friction for large consumer-facing organizations."
,"PowerUp Money","powerupmoney.com","https://www.bwdisrupt.com/article/powerup-money-raises-series-a-to-scale-zero-commission-mutual-fund-advisory-platform-584496",,"Response","ICP is small to mid-sized businesses and startups looking to improve financial operations and revenue growth through integrated payment, onboarding, and financial automation solutions.","Founders and Co-founders and Heads of Finance and CFOs and Heads of Revenue and Product Managers","SaaS companies and E-commerce businesses and Fintech platforms and Marketplaces","PowerUp Money helps product and finance leaders increase revenue capture and reduce friction by integrating payments, digital onboarding and financial automation into existing products—delivering faster transactions, higher conversion, and simpler reconciliation."
,"Chai Discovery","chaidiscovery.com","https://born2invest.com/articles/chai-discovery-ai-driven-drug-design/",,"Response","ICP is mid-to-large biotech and pharmaceutical companies, and research institutions that need AI-driven molecular design and discovery capabilities to accelerate therapeutic (especially antibody and protein) development.","title 1 and title 2","pharmaceuticals and biotechs and research institutions and contract research organizations","Chai Discovery provides foundation AI models and tools to predict molecular interactions and design de novo antibodies and protein therapeutics, enabling R&D teams to shorten discovery timelines, increase hit/success rates, and reduce wet-lab costs."
,"Finalis","finalis.com","https://www.fintechfutures.com/venture-capital-funding/us-fintech-funding-round-up-finalis-quiltt-and-realfinity",,"Response","ICP is mid-market to enterprise financial teams and executives at companies undergoing M&A activity or complex financial reporting needs, seeking to streamline financial close, reporting, and deal communications.","CFOs and finance leadership, Corporate development and M&A teams, Investor relations and FP&A teams","Financial services and fintechs, Private equity & investment firms, Technology and SaaS companies, M&A-active industries (corporate buyers and sell-side advisors)","Finalis centralizes and automates preparation and delivery of financial and deal materials so finance, M&A and investor-relations teams can produce consistent, auditable, and on-brand reports faster — reducing manual work and accelerating transactions and reporting cycles."
,"Cordulus","cordulus.com","https://www.thesaasnews.com/news/cordulus-raises-6-8-million-in-series-a",,"Response","ICP is medium-to-large organizations and operational teams that require hyperlocal, reliable weather and environmental data to make tactical field decisions — primarily farm operations, construction sites, and municipal/road maintenance departments that need on-site sensors and an easy-to-use app to reduce weather-related risk and operational costs.","farm managers and agronomists; construction project managers and site supervisors; municipal road maintenance managers and operations planners; fleet/snow-removal supervisors","agricultures and constructions; municipal road maintenance and public works; transportation and fleet services","Cordulus delivers hyperlocal, sensor-driven weather, soil and surface condition data through dedicated apps so operational teams can make safer, timelier, and more cost-effective decisions — reducing delays, avoiding over- or under-treatment (e.g., sowing, salting), and improving ROI."
,"Digicust","digicust.com","https://www.thesaasnews.com/news/digicust-raises-2-3-million-in-funding",,"Response","ICP is small-to-medium freight forwarders, logistics providers, and international trade teams within companies that handle high volumes of customs declarations and need to automate and modernize their customs processing workflows.","Operations managers and customs specialists in logistics and forwarding companies; Head of IT / automation and digital transformation leaders at freight forwarders and import/export teams; Compliance and trade specialists responsible for customs accuracy and regulatory adherence.","logistics providers and freight forwarders; import/export trading and supply chain companies; customs brokerage and forwarding networks; manufacturing and retail companies with significant cross-border operations.","Digicust delivers AI-powered customs automation (AI agents + intelligent document processing) that reduces declaration processing time up to ~90%, automates large volumes of declarations (100k+), and improves accuracy (98%+)—enabling faster, cheaper, and more compliant customs operations for logistics and trade teams."
,"Smartling","https://www.smartling.com","https://getlatka.com/blog/how-smartling-achieved-substantial-revenue-growth-insights-from-ceo-jack-weldy/",,"Response","ICP is mid-to-large enterprise organizations (SaaS, e-commerce, travel, finance, and enterprises with global customers) that produce regular digital content and need to scale localization across websites, apps, marketing, and product content—typically localization/content/marketing teams and engineering teams responsible for internationalization.","Localization managers and translation program leads; Marketing and Content managers; Product managers and Engineers (platform/engineering leads); Global expansion/International growth leaders.","Technology and SaaS companies; e-commerce and retail; Travel and hospitality; Financial services; Life sciences/Healthcare (enterprises with regulatory/localization needs).","Smartling provides an enterprise-grade, automated localization platform that centralizes translation workflows, integrates with CMS/dev stacks, and uses automation and linguistic quality management to accelerate time-to-market and improve translation quality while reducing manual effort and cost."
,"Endra","https://endra.com","https://www.thesaasnews.com/news/endra-raises-20-million-in-seed-round",,"Response","ICP is mid-to-large manufacturers and logistics operators (enterprise and industrial customers) responsible for end-of-line packaging, palletizing and transport protection who need reliable, automated, and sustainable load containment solutions to reduce cost, increase throughput, and protect product integrity.","Packaging engineers and operations managers, supply chain/logistics managers and procurement teams, automation/engineering leads and sustainability managers","metals and corrugated/paper; food and beverage; pharmaceuticals and general manufacturing; logistics & e-commerce and wood/textile/construction sectors","Endra (Signode) provides integrated end-of-line packaging systems — automated strapping, wrapping, unitizing and protective solutions — that increase load integrity, streamline operations, lower total cost of transport, and support sustainability goals for high-volume industrial and logistics operations."
,"Relik","https://relik.io","https://www.thesaasnews.com/news/relik-closes-seed-funding-round",,"Response","Unable to determine (site content could not be fetched)","Unknown (no data)","Unknown (no data)","Unknown (no data)"
,"InfiniteWatch","https://infinitewatch.com","https://www.thesaasnews.com/news/infinitewatch-raises-4-million-pre-seed",,"Response","ICP is mobile app and digital product teams at growth-stage technology companies (startups to mid-market) that need to improve user engagement, retention, and monetization through data-driven insights.","product managers and growth/marketing managers","mobile apps and SaaS products","Provides real-time, actionable product analytics and growth insights enabling product and growth teams to quickly identify user friction, optimize funnels, and increase retention and revenue."
,"Thread","https://www.thread.com","https://www.thesaasnews.com/news/thread-raises-18-million-growth-equity",,"Response","ICP is mid-market and enterprise fashion retailers / e-commerce apparel brands and direct-to-consumer shoppers who want personalized styling — specifically retail partners (e.g., department stores and large apparel brands) looking to add AI-driven personal styling and data-driven merchandising, and online shoppers (men and women) seeking convenient, personalized outfit recommendations.","consumers (male and female shoppers seeking styling help) and retail product/commerce leaders (head of e‑commerce, head of personalization, head of digital/merchandising) and stylists/creative leads.","retailers (apparel & fashion) and e-commerce platforms (consumer-facing apparel marketplaces).","Thread’s platform offers AI-powered, personalized styling combined with human stylist expertise to increase engagement and conversion for retailers and deliver effortless, tailored outfit recommendations for shoppers."
,"Coinbax","https://coinbax.com","https://www.crowdfundinsider.com/2025/12/256821-coinbax-announces-funding-round-to-bring-institutional-controls-to-stablecoin-payments/",,"Response","ICP is mid-market and enterprise financial institutions and fintechs — banks, credit unions, payment processors, fintech platforms, and marketplaces/treasury teams that need instant, programmable, and compliant stablecoin or tokenized-deposit payment rails while preserving control, fraud protection, and reconciliation efficiency.","finance and treasury teams and payments/product teams","financial institutions and fintechs","Coinbax provides an infrastructure-agnostic programmable escrow and real-time compliance layer that enables instant stablecoin/tokenized payments with built-in reversibility and automated reconciliation, reducing fraud risk and operating costs while preserving institutional control and compliance."
,"RheumaGen","https://rheumagen.com","https://www.citizentribune.com/news/business/rheumagen-announces-funding-agreement-with-beyond-celiac-investments-to-accelerate-treatments-towards-a-cure-in/article_f985e260-405c-574c-8016-3a478b2b074b.html",,"Response","ICP is specialty healthcare providers and organizations focused on rheumatology and autoimmune disease care, including rheumatology clinics, hospital departments, and clinical research groups seeking genetic or precision-medicine solutions for diagnosis and treatment optimization.","rheumatologists and clinical researchers","healthcare providers and biotechnology/pharmaceuticals","Provides precision, genetics-informed diagnostic and clinical decision support tailored to rheumatology, helping clinicians identify disease drivers faster and personalize treatment to improve outcomes and reduce trial-and-error prescribing."
,"NYS Insurance Fund","https://www.nysif.com","https://www.suny.edu/suny-news/press-releases/12-25/12-23-25/nysif.html",,"Response","ICP is New York-based employers (especially small to mid-sized businesses and public entities) seeking workers' compensation insurance and risk-management services to comply with state law, reduce workplace injuries, and control insurance costs.","Business owners and HR/risk-management professionals","Construction companies and healthcare providers","NYSIF provides state-backed, competitively priced workers' compensation insurance combined with strong claims management and workplace safety/loss-control services to help New York employers remain compliant, reduce injuries, and lower long-term insurance costs."
,"ABC15 Arizona","https://abc15.com","https://www.abc15.com/news/state/governor-hobbs-announces-7-5-million-to-help-snap-benefits-and-unemployment-insurance",,"Response","ICP is local Arizona residents seeking timely news and information and local businesses/advertisers needing targeted reach to Phoenix-metro audiences.","local residents/consumers and local business marketing/advertising decision-makers","local media and broadcasting and local small-to-midsize businesses (retail, services, healthcare, education, government/public sector)","For audiences: up-to-the-minute, locally relevant news, weather and traffic that keeps Arizona residents informed and safe. For advertisers: targeted access to a large, engaged Phoenix-metro audience through digital and broadcast inventory to drive awareness and local conversions."
,"Prokopiak","https://prokopiak.com","https://lowerbuckstimes.com/2025/12/19/prokopiak-secures-middletown-grants/",,"Response","ICP is small-to-medium B2B and SaaS companies (including startups and growth-stage firms) that need external marketing, brand, and demand-generation expertise to accelerate lead generation and product adoption.","Marketing leaders (CMOs, VP/Head of Marketing) and Founders/CEOs","SaaS companies and professional services","Prokopiak provides outsourced marketing and brand strategy that quickly amplifies demand and positions products for growth by combining strategic planning, content, and execution expertise tailored to growth-stage B2B companies."
,"Welsh Government","https://gov.wales","https://www.publicsectorexecutive.com/articles/welsh-government-announces-funding-boost-social-care",,"Response","ICP is public sector organisations in Wales, Welsh residents, and Wales-based businesses and third-sector organisations seeking government services, guidance, funding and policy information.","Welsh citizens and community members; public-sector professionals and local government officers; business owners and economic development leads; third-sector/charity managers and grant applicants; policy-makers and stakeholders.","public sectors (health, education, social services) and local government; small and medium enterprises and economic development; third-sector/charitable organisations and community services; infrastructure sectors (transport, housing, environment).","gov.wales centrally provides authoritative, accessible policy information, official services (applications, guidance, consultations) and practical support/resources to help citizens, public bodies, businesses and third-sector organisations understand and comply with Welsh Government policy and access funding or services."
,"EPA","https://www.epa.gov","https://www.jdsupra.com/legalnews/safer-water-ahead-epa-announces-funding-9711060/",,"Response","ICP is federal, state and local government agencies, municipal utilities and public works departments, private-sector environmental managers and facility operators, community organizations and researchers who need regulatory guidance, technical assistance, funding, and best practices to manage environmental and public-health risks.","municipal officials and utility managers, environmental compliance and sustainability managers, public health and environmental scientists/researchers, policymakers and program administrators, community advocates and planners","water utilities and wastewater management, waste and recycling services, manufacturing and industrial facilities, agriculture and food production, energy and power generation, construction and remediation services","EPA provides authoritative science-based guidance, regulatory frameworks, funding opportunities, and practical case studies/tools that help organizations reduce pollution, meet compliance requirements, protect public health, and implement sustainable practices."
,"Pillen","https://pillenco.com","https://www.norfolkneradio.com/news/pillen-announces-funding-boost-new-direction-for-business-innovation-act/article_8a48f7fe-2424-453c-840a-b51ef9fba3ee.html",,"Response","ICP is small-to-medium healthcare and pharmaceutical companies and clinical services providers seeking to improve patient engagement and medication adherence through digital tools.","Clinical leaders and pharmacists, digital health product managers and directors, commercialization and brand managers in pharma, and operations leaders in specialty pharmacies","healthcare providers and health systems, specialty pharmacy and pharmacy services, pharmaceutical and biotech companies, digital health and telemedicine platforms","Pillenco helps healthcare and pharma organizations increase medication adherence, improve patient outcomes, and streamline patient communication by delivering tailored digital engagement and medication support solutions that integrate into clinical workflows."
,"BatteryStartup","https://ample.com","https://www.inc.com/chloe-aiello/battery-startup-charging-evs-bankruptcy-ample/91280758",,"Response","ICP is medium-to-large fleet operators (ride-hailing, last-mile delivery, shuttle and taxi fleets) and automotive manufacturers (OEMs) focused on rapid electrification in urban environments, plus city/municipal transit agencies and large logistics companies that need high-uptime, fast-refuel solutions for electric vehicles.","fleet managers and fleet operators, automotive OEM partnerships and engineering leads, operations/manufacturing directors, city transportation planners, logistics managers, and driver/route supervisors","ride-hailing and mobility fleets, last-mile delivery and logistics, municipal transit and public transportation, automotive manufacturing and EV OEMs, commercial fleet services","Ample provides a modular battery-swapping platform that delivers a full EV charge in under five minutes, at lower infrastructure and energy cost than fast charging, without requiring vehicle redesign, enabling fleets and OEMs to scale electrification quickly and with minimal downtime."
,"Resolve AI","https://resolve.ai","https://techcrunch.com/2025/12/19/ex-splunk-execs-startup-resolve-ai-hits-1-billion-valuation-with-series-a/",,"Response","ICP is mid-market to enterprise engineering and product organizations (software/SaaS companies) that operate production systems and want to reduce incident resolution time and automate operational tasks.","engineering managers and directors, SREs/DevOps teams, VP/Head of Engineering and CTOs, production support and incident response leads","software and SaaS companies, technology and cloud services, online platforms/marketplaces and consumer Internet companies",
,"Lovable","https://lovable.ai","https://www.forbes.com/sites/aliciapark/2025/12/19/ai-startup-lovable-just-minted-one-of-europes-youngest-ever-self-made-billionaires/",,"Response","ICP is startups, indie founders, product teams and small-to-medium businesses (and enterprise teams) that need to rapidly build, prototype, or ship web apps and websites using AI-assisted low-code tooling.","title 1 and title 2","target 1 and target 2","Build apps and websites by chatting with AI — quickly generate prototypes or production sites from templates and low-code components, accelerating time-to-market and reducing engineering overhead."
,"Hyro","https://hyro.ai","https://news.cornell.edu/stories/2025/12/cornell-tech-studio-startup-hyro-raises-45-million-scale-voice-ai-healthcare",,"Response","ICP is large healthcare systems and enterprise organizations (especially those with high inbound call and patient/customer access volumes) seeking to deploy conversational AI to automate scheduling, intake, and self-service across voice and digital channels to reduce call center load and increase conversions.","Chief Digital Officers and Contact Center Leaders (including Heads of Patient Access/Customer Experience and VPs of Operations)","healthcare organizations and enterprise contact centers (including health systems, hospitals, insurance/payors and other large service-driven enterprises)","Hyro provides enterprise conversational AI that integrates with backend systems to automate patient/customer access and intake across voice and digital channels, reducing call volume, cutting operational costs, and improving conversion and experience."
,"Crunchbase","https://www.crunchbase.com","https://news.crunchbase.com/startups/funding-zero-to-unicorn-ai-robotics-eoy-2025/",,"Response","ICP is professionals and organizations that need timely, structured company and funding data to discover, evaluate, and monitor private and public companies — primarily investors (VCs, angel investors, private equity), corporate development and M&A teams, sales and business development teams focused on B2B tech and startups, market researchers, and startup founders/entrepreneurs seeking visibility or competitive intelligence.","venture capitalists and startup founders","technology startups and venture capital firms","Crunchbase provides a centralized, up-to-date, searchable database of companies, funding rounds, people, and news plus tools to discover prospects, monitor market signals, and perform competitive or investor due diligence — helping investors find and evaluate deals and helping sales/research teams identify and prioritize opportunities quickly."
,"Tebra","https://tebra.com","https://vator.tv/tebra-raises-250-million-udemy-merges-with-coursera-brainworks-ventures-launches-50m-fund/",,"Response","ICP is independent and small-to-medium healthcare and wellness practices (e.g., privately owned medical, dental, allied health and specialty clinics) that need an integrated practice management, patient communication, and revenue cycle solution to grow and simplify operations.","practice owners and clinic managers","healthcare practices and specialty clinics","Tebra provides an integrated practice management platform that centralizes scheduling, patient communications, billing, and marketing so clinicians and clinic managers can increase bookings and collections while reducing administrative work."
,"CuePilot AI","https://cuepilot.ai","https://www.entrepreneur.com/en-in/news-and-trends/cuepilot-ai-raises-usd-18-mn-in-pre-seed-funding/501102",,"Response","ICP is early childhood education providers (preschools, early learning centers, and small to mid-sized school networks) and their associated stakeholders — classroom teachers and educators, school leaders/management, and parents — who need to reduce administrative burden and improve planning, assessment and parent communication through an AI-enhanced, integrated learning & administration platform.","early childhood classroom teachers and educators, school leaders and management, and parents/caregivers","early childhood education providers and K–12 (specifically preschools and early learning centers)","CuePilot provides an AI-first learning and administrative ecosystem that automates planning, assessments, parent communication and routine workflows—saving teachers significant time (advertised as over 2 hours/day) while preserving educator intent by prompting thinking rather than replacing it."
,"PowerUp Money","https://powerupmoney.com","https://www.bwdisrupt.com/article/peak-xv-backs-zero-commission-advisory-powerup-money-in-series-a-funding-round-585147",,"Error processing request",,,,
,"Naxatra Labs","https://naxatralabs.com","https://www.bwdisrupt.com/article/zerodha-backed-naxatra-labs-raises-funding-to-scale-ev-motor-production-globally-585149",,"Error processing request",,,,
,"Lovable","https://www.lovable.in","https://markets.financialcontent.com/wral/article/tokenring-2026-1-1-the-end-of-saas-lovable-secures-330m-to-launch-the-software-as-a-system-era",,"Response","ICP is early-stage and growth-stage technology companies (startups and SMEs) and enterprise product teams seeking end-to-end digital product design and development support to build user-centric web and mobile applications.","Product Managers and Heads of Product, Founders and Startup CEOs, Heads of Design/UX, CTOs and Engineering Leaders, Growth/Marketing Heads","technology startups and SaaS companies, e-commerce and retail platforms, fintech and payments, healthtech and wellness platforms, enterprise B2B software",
,"Techloy","https://techloy.com","https://www.techloy.com/infographic-top-asian-startup-funding-week-1-2026/",,"Response","ICP is small-to-midsize technology startups and fast-growing digital businesses (including SaaS companies and tech product makers) seeking hands-on content, growth marketing, and product-marketing support to increase visibility, user acquisition, and thought leadership.","Founders and Co‑founders and Heads of Growth and Product Marketing Managers","Technology companies and Software/SaaS companies","Techloy positions itself as a content- and growth-focused partner that helps tech companies tell their product story, generate demand, and acquire users through targeted content, case studies, and practical growth tactics."
,"HoneyBook","https://www.honeybook.com","https://getlatka.com/blog/how-honeybook-achieved-impressive-revenue-growth-by-empowering-event-vendors/",,"Response","ICP is small, service-based businesses and creative entrepreneurs (solopreneurs and small teams) who manage client projects end-to-end — especially photographers, event professionals, venues, wedding vendors, consultants, and freelance marketers/designers.","photographers and event professionals and wedding vendors and freelance consultants and small business owners","creative services and events and marketing/consulting and professional services","HoneyBook helps client-facing small businesses book clients, manage projects, automate workflows, and get paid faster through a single integrated platform — saving time, reducing admin work, and creating a more professional client experience."
,"NCInnovation","https://ncinnovation.com","https://nsjonline.com/article/2025/12/ncinnovation-announces-funding-for-more-university-research-projects/",,"Response","ICP is North Carolina-based startups, small-to-midsize companies, entrepreneurs, and branding/marketing teams seeking to acquire a premium, brandable .com domain (NcInnovation.com) to signal innovation, credibility, and regional identity—also domain investors and corporate acquisition teams looking for strategic digital real estate.","Founders and CEOs (entrepreneurs), Marketing and Brand Leaders, Corporate Acquisition/Domain Acquisition Teams, Domain Investors and Brokers","technology startups and innovation companies, regional North Carolina businesses and economic development organizations, branding and marketing agencies, domain/reseller marketplace participants","Own a premium .com domain that communicates innovation and regional identity for North Carolina—providing immediate brand credibility and a strategic digital asset with secure, guaranteed purchase processing. The domain acts as an investment in the company’s brand future and market positioning."
,"DHS","https://www.dhs.gov","https://www.wglr.com/2025/12/31/dhs-announces-funding-to-be-used-for-various-rural-health-programs/",,"Response","ICP is federal, state, local and tribal government agencies plus critical infrastructure owners/operators (transportation, energy, healthcare, finance) and public-safety organizations that need national security, emergency management, border security, and cybersecurity coordination and resources.","emergency managers and public-safety leaders; cybersecurity and IT security leaders (CISOs, SOC directors); law enforcement and border security managers; policy makers and procurement officials","government agencies and critical infrastructure sectors (transportation, energy, healthcare, finance)","DHS delivers centralized federal leadership, actionable guidance, funding programs, technical assistance, and operational coordination to protect the homeland and improve resilience for agencies and critical infrastructure operators."
,"Gopuff","https://gopuff.com","https://www.businessinsider.com/retail-startups-raised-millions-in-2025-gopuff-stickerbox-2025-12",,"Response","ICP is urban and suburban consumers and small businesses who need immediate, last-mile delivery of everyday essentials—time-pressed individuals (e.g., young professionals, students, parents) and local small commercial customers (e.g., convenience retailers, property managers, hospitality outlets) who value speed, convenience and predictable pricing.","busy professionals and students and parents and small business operators and property/hospitality managers","convenience retail and food & beverage retail and hospitality & property management","Gopuff delivers everyday essentials quickly and reliably from local micro-fulfillment centers, saving time for consumers and reducing inventory/delivery complexity for local businesses by providing predictable, on-demand supply and delivery."
,"Dazzle","https://dazzle.com","https://techcrunch.com/2025/12/23/marissa-mayers-new-startup-dazzle-raises-8m-led-by-forerunners-kirsten-green/",,"Response","ICP is unknown due to inability to reliably access or scrape https://dazzle.com. Based on available public clues about companies named “Dazzle” and typical positioning for firms called Dazzle (digital marketing / commerce / creative agencies), a reasonable working ICP would be: mid-market and growth-stage consumer brands and B2B SaaS companies seeking to scale online revenue and improve digital customer acquisition and retention.","Marketing leaders and operators — e.g., Chief Marketing Officers and VPs/Directors of Marketing and E-commerce Managers and Digital Marketing Managers","e-commerce & retail brands and B2B SaaS and technology companies","Dazzle helps growth-oriented companies scale digital revenue and customer acquisition through creative, conversion-focused marketing and commerce solutions that combine brand storytelling with measurable performance."
,"Nvidia","https://www.nvidia.com","https://www.cnbc.com/2025/12/24/nvidia-buying-ai-chip-startup-groq-for-about-20-billion-biggest-deal.html",,"Response","ICP is enterprise and research organizations (large enterprises, cloud providers, data centers, and research institutions) and software/hardware developers/startups that require high-performance accelerated compute, AI/ML infrastructure, and visualization/digital-twin platforms to build, train, and deploy GPU-accelerated workloads.","CTOs and CIOs, ML engineers and data scientists, IT infrastructure and SRE managers, product and engineering leaders, and GPU-accelerated application developers (including simulation/visualization engineers).","Automotive and manufacturing, Healthcare and life sciences, Telecommunications and finance, Media & entertainment and gaming, Energy and utilities, Retail and logistics","NVIDIA provides end-to-end GPU-accelerated hardware (GPUs, DGX systems), software platforms (CUDA, NVIDIA AI Enterprise, TensorRT, Omniverse) and ecosystem integrations that dramatically speed model training and inference, enable real-time simulation/visualization and digital twins, and scale AI/ HPC workloads — letting technical teams build, deploy, and operate advanced AI and high-performance computing solutions faster and more efficiently."
,"Erebor","https://erebor.com","https://www.theblock.co/post/383533/banking-startup-erebor-350-million-4-billion-valuation-fdic-approval-axios",,"Response","Unable to determine from site crawl","N/A","N/A","N/A"
,"Radiant","https://www.radiant.com","https://neutronbytes.com/2025/12/21/radiants-spectacular-day-nuclear-startup-raises-over-300-million/",,"Response","ICP is unclear from the public radiant.com homepage; likely small-to-midsize business owners and operators of consumer-facing service businesses (e.g., express car washes and franchised service locations) who need operational support and business services.","business owners and operations managers (owners/operators of service locations) and possibly franchise executives and finance managers","service-based consumer businesses and automotive/service franchises (e.g., car wash businesses)","Radiant appears to position itself as a corporate group providing operational, business and support services to consumer-facing service franchises — helping owners/operators streamline operations and grow their businesses."
,"Ambassador","https://www.ambassador.com","https://www.geekwire.com/2025/seattle-startup-ambassador-raises-7m-to-help-companies-analyze-customer-feedback-with-help-from-ai/",,"Response","ICP is marketing, growth, and partnership teams at mid-market to enterprise B2C and B2B companies that run customer referral, ambassador, affiliate, and partner programs—especially e-commerce, subscription/SaaS, retail, fintech, and travel brands looking to scale word-of-mouth and partner-driven revenue.","Marketing leaders and managers (CMOs, VPs/Directors of Marketing, Growth Managers), Partnership and Channel leaders (Head/Director of Partnerships, Affiliate/Channel Managers), and Customer Success/CRM leaders who run lifecycle and advocacy programs.","e-commerce and retail, SaaS and subscription services, fintech and financial services, travel and hospitality, and consumer packaged goods (CPG) and health/wellness sectors.","Ambassador provides a unified, scalable platform to automate referral, affiliate, and partner programs—helping growth/marketing and partnerships teams acquire customers more efficiently by turning existing customers and partners into measurable revenue channels with deep tracking and integrations."
,"Medigate","https://www.medigate.io","https://www.calcalistech.com/ctechnews/article/bjoj1121411x",,"Response","ICP is healthcare providers, hospital systems, and organizations operating critical cyber-physical systems (including pharmaceutical manufacturers, port/transportation authorities, and other critical infrastructure operators) that need enterprise-grade OT/IoT/medical device security and compliance.","CISOs and security leadership, security operations/incident response teams, OT/ICS and network security engineers/architects, compliance/risk officers and biomedical/clinical engineering leaders (for healthcare).","healthcare organizations and hospital systems, pharmaceutical and life sciences manufacturers, critical infrastructure and transportation/ports, and industrial/OT environments.","Provides comprehensive, real-time visibility and continuous threat detection for medical devices, OT/ICS and enterprise IoT to reduce operational risk, accelerate incident response, and ensure compliance—protecting critical clinical and industrial operations."
,"Meta","https://about.meta.com","https://www.wsj.com/tech/ai/meta-buys-ai-startup-manus-adding-millions-of-paying-users-f1dc7ef8",,"Response","ICP is businesses and organizations that want to reach, engage, and convert large consumer audiences using Meta's platforms and technologies — primarily marketers, advertisers, app developers, e‑commerce businesses, media and entertainment companies, and creators looking to build audience and immersive experiences.","marketing and advertising leaders, performance and growth marketers, e‑commerce managers and CMOs, product and app developers, creative and content leads, and XR/AR developers and designers","advertising and marketing and ecommerce and retail and media & entertainment and gaming and technology","Meta provides a unified set of platforms, advertising and measurement tools, commerce integrations, and immersive technologies that let organizations find, engage, measure, and scale audiences and experiences across social and emerging XR channels. It promises reach, targeting, platform-native creative formats, commerce connections and developer tools to drive growth and richer customer experiences."
,"Cyphlens","https://cyphlens.com","https://www.thesaasnews.com/news/cyphlens-raises-3-8-million-seed-round",,"Response","ICP is mid-to-large enterprises and government agencies (including DoD-level and Fortune-scale organizations) that handle highly sensitive data and need persistent, identity-bound, auditable control over who can view and interact with content across channels.","Security teams and security leaders and IT/admin teams and Compliance officers and Legal and HR and Executive teams","Financial services and Healthcare and Legal services and Government and Enterprise technology and Human resources/internal operations","Cyphlens delivers passwordless, low-friction, device-bound visual decryption (Lenscryption) that enforces persistent, revocable, auditable access controls over files and messages across email, Slack, Teams, cloud storage and third parties — protecting sensitive data in-view without breaking workflows."
,"Dazzle AI","https://dazzle.ai","https://www.thesaasnews.com/news/dazzle-ai-raises-8-million-seed-round",,"Response","ICP is early-adopter product and engineering teams and knowledge-work organizations that want to integrate accessible generative AI into workflows — specifically small-to-mid enterprise product leaders, technical founders, and advanced knowledge workers who need tooling to bridge the gap between AI capabilities and practical use.","product leaders and engineering/AI practitioners (product managers, technical founders, ML/AI engineers) and knowledge workers (marketers, designers, customer-success managers)","technology companies and knowledge-work industries (e.g., SaaS/enterprise software and digital marketing/design services)","Dazzle positions itself as a tool that 'closes the gap between what people want and what they can do with AI' — enabling teams and knowledge workers to more easily apply generative AI in practical product and workflow contexts."
